HS6,HSCODE,NM_EN,NM_KO
10121,101211000,farm breeding ,농가 사육용
10129,101291000,horses racing ,경주말
10221,102211000,milk ,젖소
10221,102212000,meat ,육우(肉牛)
10231,102311000,milk ,젖소
10231,102312000,meat ,육우
10290,102909010,milk ,젖소
10391,103910000,weighing ,중량이 50킬로그램 미만인 것
10392,103920000,weighing ,중량이 50킬로그램 이상인 것
10420,104201000,milk goats ,젖산양
10514,105140000,geese ,거위
10515,105150000,guinea fowls ,기니아새
10594,105941000,pure-bred breeding animals ,번식용
10599,105992000,turkeys ,칠면조
10611,106110000,primates ,영장류
10612,106121000,whales dolphins porpoises mammals order cetacea manatees dugongs mammals order sirenia ,"고래 □ 돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물)"
10612,106122000,seals sea lions walruses mammals suborder pinnipedia ,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)"
10613,106130000,camels other camelids camelidae ,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과]
10619,106191000,dogs ,개
10619,106193000,deer ,사슴
10619,106194000,bears ,곰
10620,106201000,snakes ,뱀
10620,106202000,fresh-water tortoises ,자라
10620,106203000,turtles ,거북
10631,106310000,birds prey ,맹금류
10632,106320000,psittaciformes including parrots parakeets macaws cockatoos ,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다]
10633,106330000,ostriches dromaius novaehollandiae ,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)]
10641,106411000,honey bees ,꿀벌
10690,106901000,amphibia ,양서류
10690,106903010,lug worms ,갯지렁이
10690,106903020,sludge worms ,실지렁이
20120,201201000,short ribs ,갈비
20130,201300000,boneless ,뼈 없는 것
20130,201300000,meat bovine animals kimlar beef roll ,
20220,202200000,edible beef bone meatfrozen food beef bone meat ,
20220,202200000,edible beef bone meat frozen ,
20220,202200000,edible beef bone meat frozen food beef bone meat ,
20220,202200000,edible beef bone meatfrozen ,
20220,202201000,frozen bobby veal rib bones vealribcage ,
20230,202300000,meat bovine frozen boneless beef top sirloin steaks beef meat water sodium phosphate salt oleoresin spice ,
20230,202300000,beef salt papain water original name ,
20230,202300000,beef water dextrose salt papain beef sirloin name ,
20230,202300000,beef salt papain water sandwich name ,
20230,202300000,beef ground frozenground beef ,
20230,202300000,beefground frozen hamburger patties ,
20230,202300000,meat bovine animals boneless ,
20230,202300000,beefground frozen frozen beef patties hamburger patties beef ,
20230,202300000,beef originalnoname steaks ,
20312,203120000,hams shoulders cuts thereof bone ,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다)
20319,203199000,meat swine chilled chilleld boneless pork half cut bsr ,
20329,203290000,pork neckbone pork neckbone meat ,
20329,203290000,front foot shank intact ,
20329,203291000,pork bellyfrozen ,
20329,203291000,streaky pork ,삼겹살
20329,203299000,meat swine frozen ground pork ,
20329,203299000,meat swinefrozen boneless pork center cut chops food pork meat water sodium phosphate salt ,
20410,204100000,boneless young lamb fresh lamb cut bone ,
20410,204100000,carcasses half-carcasses lamb fresh ,어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다)
20421,204210000,carcasses half-carcasses ,도체(屠體)와 이분도체(二分屠體)
20422,204220000,other cuts bone ,그 밖의 것으로서 뼈째로 절단한 것
20430,204300000,freezing young lamb cut bones bone-less lamb freezer ,
20430,204300000,carcasses half-carcasses lamb ,어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다)
20500,205001000,fresh ,신선한 것이거나 냉장한 것
20500,205002000,frozen ,냉동한 것
20610,206100000,bovine animals fresh ,소의 것(신선한 것이나 냉장한 것으로 한정한다)
20610,206100000,beef hook waste ,
20621,206210000,tongues ,혀
20622,206220000,livers ,간
20629,206290000,defatted beef beef tissue ,
20629,206291000,tails ,꼬리
20629,206292000,feet ,족
20629,206299000,sinew ,
20629,206299000,patella frozen ,
20629,206299000,skirt frozen anchangsaltochisal seagullsal ,
20629,206299000,beef offal ,
20629,206299000,other edible offal bovine animals beef achilles ,
20629,206299000,sinew frozen monfort food ,
20630,206300000,swine fresh ,돼지의 것(신선한 것이나 냉장한 것으로 한정한다)
20649,206490000,foot swine ,
20649,206491000,meat swin frozen ,
20680,206800000,other fresh ,기타(신선한 것이나 냉장한 것으로 한정한다)
20690,206900000,other frozen ,기타(냉동한 것으로 한정한다)
20712,207121000,weighing ,중량이 550그램 이하인 것
20713,207131010,leg ,다리
20713,207131020,breast ,가슴
20713,207131030,wing ,날개
20752,207520000,cut pieces frozen ,절단하지 않은 육(냉동한 것으로 한정한다)
20753,207530000,fatty livers fresh ,지방간(신선한 것이나 냉장한 것으로 한정한다)
20754,207541000,cuts ,절단육
20754,207542010,liver ,간
20754,207542090,other ,기타
20760,207601000,cut pieces fresh ,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다)
20810,208100000,rabbits hares ,토끼의 것
20830,208300000,primates ,영장류의 것
20840,208401000,whales dolphins porpoises mammals order cetacea manatees dugongs mammals order sirenia ,"고래 □ 돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물)의 것"
20840,208402000,seals sea lions walruses mammals suborder pinnipedia ,물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것
20850,208500000,reptiles including snakes turtles ,파충류의 것(뱀과 거북을 포함한다)
20860,208600000,camels other camelids camelidae ,낙타와 그 밖의 낙타과[카멜리대(Camelidae)과]의 것
20890,208901000,deer ,사슴의 것
20890,208909010,marine animals ,해양동물의 것
20910,209100000,pigs ,돼지의 것
21012,210120000,bellies streaky cuts ,복부살과 이를 절단한 것
21020,210201000,dried smoked ,건조하거나 훈제한 것
21099,210991020,swine ,돼지의 것
21099,210999010,sheep goats ,면양과 산양의 것
21099,210999020,poultry ,가금(家禽)류의 것
30110,301102000,tropical fish ,
30111,301111000,fancy carp ,비단잉어
30191,301911000,salmo trutta mykiss oncorhynchus clarki ,살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)
30192,301921000,glass eels exceeding unit aquaculture ,실뱀장어(한 마리당 0.3그램 이하인 것으로서 양식용으로 한정한다)
30192,301922000,young eels exceeding exceeding unit aquaculture ,새끼뱀장어(한 마리당 0.3그램 초과 50그램 이하인 것으로서 양식용으로 한정한다)
30192,301929010,glass eels other aquaculture ,실뱀장어(양식용은 제외한다)
30199,301994010,fry aquaculture ,치어(稚魚)(양식용으로 한정한다)
30199,301997000,hagfish ,먹장어
30199,301998000,flat fish ,넙치류
30199,301999010,true bass ,능성어
30199,301999030,tilapia ,틸라피아
30199,301999060,mullets ,숭어
30199,301999070,loaches ,미꾸라지
30199,301999080,cat fishes ,메기
30199,301999091,rock trout hexagrammos spp. agrammus spp ,노래미[헥사그라모스(Hexagrammos)종ㆍ아그라무스(Agrammus)종]
30199,301999092,crusian carp ,붕어
30199,301999094,grass carp ,초어
30199,301999096,carp other cyprinus spp. carassius spp. ctenopharyngodon idellus hypophthalmichthys spp. cirrhinus spp. mylopharyngodon piceus catla catla labeo spp. osteochilus hasselti leptobarbus hoeveni megalobrama spp ,잉어[사이프리너스(Cyprinus)종ㆍ카라시우스(Carassius)종ㆍ 크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)종ㆍ시리누스(Cirrhinus)종ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)종ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)종은 제외한다]
30211,302111000,salmo trutta mykiss oncorhynchus clarki ,살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)
30211,302112000,apache chrysogaster ,옹코링쿠스 아파케(Oncorhynchus apache)와 옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)
30213,302130000,pacific salmon oncorhynchus nerka gorbuscha keta tschawytscha kisutch masou rhodurus ,태평양 연어[옹코링쿠스 넬카(Oncorhynchus nerka)ㆍ옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)]
