hs6,hscode10,류,호,소호,세번10단위품명,신성질별 분류명
10121,101219000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,번식용,기타,말
10121,101211000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,번식용,농가 사육용,말
10129,101299000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,기타,기타,말
10129,101291000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,기타,경주말,말
10130,101301000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,당나귀,번식용,기타 산 동물
10130,101309000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,당나귀,기타,기타 산 동물
10190,101900000,제1류 산동물,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,기타,기타,기타 산 동물
10221,102211000,제1류 산동물,살아 있는 소,번식용,젖소,소
10221,102219000,제1류 산동물,살아 있는 소,번식용,기타,소
10221,102212000,제1류 산동물,살아 있는 소,번식용,육우(肉牛),소
10229,102299000,제1류 산동물,살아 있는 소,기타,기타,소
10229,102291000,제1류 산동물,살아 있는 소,기타,젖소,소
10229,102292000,제1류 산동물,살아 있는 소,기타,육우(肉牛),소
10231,102310000,제1류 산동물,살아 있는 소,번식용,번식용,소
10239,102399000,제1류 산동물,살아 있는 소,기타,기타,소
10239,102392000,제1류 산동물,살아 있는 소,기타,육우(肉牛),소
10239,102391000,제1류 산동물,살아 있는 소,기타,젖소,소
10290,102909020,제1류 산동물,살아 있는 소,기타,육우(肉牛),소
10290,102909010,제1류 산동물,살아 있는 소,기타,젖소,소
10290,102901000,제1류 산동물,살아 있는 소,기타,번식용,소
10290,102909090,제1류 산동물,살아 있는 소,기타,기타,소
10310,103100000,제1류 산동물,살아 있는 돼지,번식용,번식용,돼지
10391,103910000,제1류 산동물,살아 있는 돼지,중량이 50킬로그램 미만인 것,중량이 50킬로그램 미만인 것,돼지
10392,103920000,제1류 산동물,살아 있는 돼지,중량이 50킬로그램 이상인 것,중량이 50킬로그램 이상인 것,돼지
10410,104101000,제1류 산동물,살아 있는 면양과 산양,면양,번식용,기타 산 동물
10410,104109000,제1류 산동물,살아 있는 면양과 산양,면양,기타,기타 산 동물
10420,104209000,제1류 산동물,살아 있는 면양과 산양,산양,기타,기타 산 동물
10420,104201000,제1류 산동물,살아 있는 면양과 산양,산양,젖산양,기타 산 동물
10511,105111000,제1류 산동물,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다],닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],번식용,닭
