hs6,hscode,품명,MFN(2순위),잠정세율(2순위),APTA(1순위),FTA세율
10121,101210010,"Endangered wild horses, pure-bred breeding",0%,,,
10121,101210090,"Other horses, pure-bred breeding",0%,,,
10129,101290010,"Endangered wild horses, not for breeding",10%,,,3%
10129,101290090,"Other horses, not for breeding",10%,,,3%
10130,101301010,"Endangered wild asses, pure-bred breeding",0%,,,
10130,101301090,"Other asses, pure-bred breeding",0%,,,
10130,101309010,"Endangered wild asses, not for breeding",10%,,,3%
10130,101309090,"Other asses, not for breeding",10%,,,3%
10190,101900000,Other,10%,,,3%
10221,102210000,Pure-bred breeding,0%,,,
10229,102290000,Other,10%,,,3%
10231,102310010,"Endangered buffalo, pure-bred breeding",0%,,,
10231,102310090,"Other buffalo, prue-bred breeding",0%,,,
10239,102390010,"Endangered buffalo, not for breeding",10%,,,3%
10239,102390090,"Other buffalo, not for breeding",10%,,,3%
10290,102901010,"Endangered wild bovine, pure-bred breeding",0%,,,
10290,102901090,Other bovine pure-bred breeding,0%,,,
10290,102909010,"Endangered wild bovine, not for breeding",10%,,,3%
10290,102909090,Other bovine not for breeding,10%,,,3%
10310,103100010,"Pig-deer (Babyrousa), pygmy pig (Porcula), pure-bred breeding",0%,,,
10310,103100090,"Other swine, pure-bred breeding",0%,,,
10391,103911010,"Other wild swine, weighing<10kg (other than pure-bred breeding)",10%,,,3%
10391,103911090,"Other swine, weighing<10kg (other than pure-bred breeding)",10%,,,3%
10391,103912010,"Other wild swine, 10kg≤weighing<50kg (other than pure-bred breeding)",10%,,,3%
10391,103912090,"Other swine, 10kg ≤ weighing < 50kg (other than pure-bred breeding)",10%,,,3%
10392,103920010,"Other wild swine, weighing≥50kg (other than pure-bred breeding)",10%,,,3%
10392,103920090,"Other swine, weighing≥50kg (other than pure-bred breeding)",10%,,,3%
10410,104101000,Pure-bred breeding,0%,,,
10410,104109000,Other,10%,,,3%
10420,104201000,Pure-bred breeding,0%,,,
10420,104209000,Other,10%,,,3%
10511,105111000,Pure-bred breeding,0%,,,
10511,105119000,Other,10%,,,3%
10512,105121000,Pure-bred breeding,0%,,,
10512,105129000,Other,10%,,,3%
10513,105131000,Pure-bred breeding,0%,,,
10513,105139000,Other,10%,,,3%
10514,105141000,Pure-bred breeding,0%,,,
10514,105149000,Other,10%,,,3%
10515,105151000,Pure-bred breeding,0%,,,
10515,105159000,Other,10%,,,3%
10594,105941000,Pure-bred breeding,0%,,,
10594,105949000,Other,10%,,,3%
10599,105991000,Pure-bred breeding,0%,,,
10599,105999100,Ducks,10%,,,3%
10599,105999200,Geese,10%,,,3%
10599,105999300,Guinea fowls,10%,,,3%
10599,105999400,Turkeys,10%,,,3%
10611,106111000,pure-bred breeding,0%,,,
10611,106119000,Other,10%,,,3%
10612,106121100,Pure-bred breeding,10%,0%,,0%
10612,106121900,Other,10%,,,3%
10612,106122100,Pure-bred breeding,0%,,,
10612,106122900,Other,10%,,,3%
10613,106131010,"Endangered camel and other endangered camel familia animals, pure-bred breeding(including domesticated and artificially bred)",0%,,,
10613,106131090,"Other camel and other camel familia animals, purebred brdding",0%,,,
10613,106139010,Endangered camel and other endangered camel familia animals (including domesticated and artificially bred),10%,,,3%
10613,106139090,Other camel and other camel familia animals,10%,,,3%
10614,106141010,"Endangered hares, pure-bred breeding(including donesticatd and artificiauy bred)",0%,,,
10614,106141090,"Rabbits and Other hares, pure-bred breeding",0%,,,
10614,106149010,Other endangered hares(including domes ticatedandan tificiauy bred),10%,,,3%
10614,106149090,Other rabbits and hares,10%,,,3%
10619,106191010,"Other endangered mammals, pure-bred breeding(including domesticated and artificially bred)",0%,,,
10619,106191090,"Other mammals, pure-bred breeding",0%,,,
10619,106199010,"Other endangered mammals, including domesticated and artificially bred",10%,,,3%
10619,106199090,Other mammals,10%,,,3%
10620,106201100,Crocodiles for cultivation,0%,,,
10620,106201900,Other,0%,,,
10620,106202010,"Snakes, for human consumption(including domesticated and artificially bred)",10%,,,3%
10620,106202021,Endangered turtle (including domestication and artificial breeding),10%,,,3%
10620,106202029,Other eating a turtle (including domestication and artificial breeding),10%,,,3%
