hscode,품명,기본세율,FTA,hs6
101210000,Pure-bred breeding animals,0.00%,0.00%,10121
101291000,For slaughter,0.00%,0.00%,10129
101299000,Other,11.50%,0.00%,10129
101300000,Asses,7.70%,0.00%,10130
101900000,Other,10.90%,0.00%,10190
102211000,Heifers (female bovines that have never calved),0.00%,,10221
102213000,Cows,0.00%,,10221
102219000,Other,0.00%,,10221
102290500,Of the sub-genus Bibos or of the sub-genus Poephagus,0.00%,,10229
102291010,"Young male bovine animals, intended for fattening",10.200 % + 93.100 EUR DTN ,0.00%,10229
102291020,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",10.200 % + 93.100 EUR DTN ,0.00%,10229
102291030,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",10.200 % + 93.100 EUR DTN ,0.00%,10229
102291040,"Heifers of the spotted Simmental breed, other than for slaughter",10.200 % + 93.100 EUR DTN ,0.00%,10229
102291050,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",10.200 % + 93.100 EUR DTN ,0.00%,10229
102291090,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102292100,For slaughter,10.200 % + 93.100 EUR DTN ,0.00%,10229
102292910,"Young male bovine animals, intended for fattening",10.200 % + 93.100 EUR DTN ,0.00%,10229
102292920,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",10.200 % + 93.100 EUR DTN ,0.00%,10229
102292930,Heifers of the Schwyz and Fribourg breeds,10.200 % + 93.100 EUR DTN ,0.00%,10229
102292940,Heifers of the spotted Simmental breed,10.200 % + 93.100 EUR DTN ,0.00%,10229
102292950,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",10.200 % + 93.100 EUR DTN ,0.00%,10229
102292990,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102294100,For slaughter,10.200 % + 93.100 EUR DTN ,0.00%,10229
102294910,"Young male bovine animals, intended for fattening",10.200 % + 93.100 EUR DTN ,0.00%,10229
102294920,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",10.200 % + 93.100 EUR DTN ,0.00%,10229
102294930,Heifers and cows of the Schwyz and Fribourg breeds,10.200 % + 93.100 EUR DTN ,0.00%,10229
102294940,Heifers and cows of the spotted Simmental breed,10.200 % + 93.100 EUR DTN ,0.00%,10229
102294950,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",10.200 % + 93.100 EUR DTN ,0.00%,10229
102294990,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102295110,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102295190,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102295911,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102295919,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102295921,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102295929,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
102295931,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg",10.200 % + 93.100 EUR DTN ,0.00%,10229
102295939,Other,10.200 % + 93.100 EUR DTN ,0.00%,10229
