hscode,품명,기본세율,FTA,hs6
101210010,Males,Free,,10121
101210020,Females,Free,,10121
101290010,Imported for immediate slaughter,Free,,10129
101290090,Other,Free,,10129
101300000,Asses,6.80%,Free,10130
101903000,Imported for immediate slaughter,Free,,10190
101904000,Other,4.50%,Free,10190
102210010,Male,Free,,10221
102210020,Female,Free,,10221
102210030,Male,Free,,10221
102210050,Female,Free,,10221
102292011,Weighing less than 90 kg each,Free,,10229
102292012,Weighing 90 kg or more each,Free,,10229
102294024,Male,1¢/kg,Free,10229
102294028,Female,1¢/kg,Free,10229
102294034,Male,1¢/kg,Free,10229
102294038,Female,1¢/kg,Free,10229
102294054,Male,1¢/kg,Free,10229
102294058,Female,1¢/kg,Free,10229
102294062,Steers,1¢/kg,Free,10229
102294064,Bulls,1¢/kg,Free,10229
102294066,Cows,1¢/kg,Free,10229
102294068,Heifers,1¢/kg,Free,10229
102294072,Male,1¢/kg,Free,10229
102294074,Female,1¢/kg,Free,10229
102294082,Male,1¢/kg,Free,10229
102294084,Female,1¢/kg,Free,10229
102310010,Male,Free,,10231
102310020,Female,Free,,10231
102390010,Bison,1¢/kg,Free,10239
102390024,Male,1¢/kg,Free,10239
102390028,Female,1¢/kg,Free,10239
102390034,Male,1¢/kg,Free,10239
102390038,Female,1¢/kg,Free,10239
102390054,Male,1¢/kg,Free,10239
102390058,Female,1¢/kg,Free,10239
102390061,For immediate slaughter,1¢/kg,Free,10239
102390072,Male,1¢/kg,Free,10239
102390074,Female,1¢/kg,Free,10239
102390082,Male,1¢/kg,Free,10239
102390084,Female,1¢/kg,Free,10239
102900000,Other,1¢/kg,Free,10290
103100000,Purebred breeding animals,Free,,10310
103910010,Weighing less than 7 kg each,Free,,10391
103910020,Weighing 7 kg or more but less than 23 kg each,Free,,10391
103910030,Weighing 23 kg or more but less than 50 kg each,Free,,10391
103920010,Imported for immediate slaughter,Free,,10392
103920020,Breeding animals other than purebred breeding animals,Free,,10392
103920091,Other,Free,,10392
104100000,Sheep,Free,,10410
104200000,Goats,68¢/head,Free,10420
105110010,Layer-type (egg-type),0.9¢ each,Free,10511
105110020,Broiler-type (meat-type),0.9¢ each,Free,10511
105110040,Other,0.9¢ each,Free,10511
105120000,Turkeys,0.9¢ each,Free,10512
105130000,Ducks,0.9¢ each,Free,10513
105140000,Geese,0.9¢ each,Free,10514
105150000,Guinea fowls,0.9¢ each,Free,10515
105940000,Chickens,2¢/kg,Free,10594
105990000,Other,2¢/kg,Free,10599
106110000,Primates,Free,,10611
106120100,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Free,,10612
106130000,Camels and other camelids (Camelidae),Free,,10613
106140000,Rabbits and hares,Free,,10614
106193000,Foxes,4.80%,Free,10619
106199120,Dogs,Free,,10619
106199195,Other,Free,,10619
106200000,Reptiles (including snakes and turtles),Free,,10620
106310000,Birds of prey,1.80%,Free,10631
